Category,Headline,Summary,Date
political-pulse,"As Maharashtra-Karnataka border row flares up again, a short history of the dispute","Most recently, the neighbouring states were at loggerheads over the dispute in 2022, which saw the Maharastra Assembly pass a resolution saying the government will pursue the matter in the Supreme Court.","FEBRUARY 24, 2025 06:23 IST"
political-pulse,What a government study reveals about the state of panchayats in India,"Karnataka, Kerala, and Tamil Nadu have topped the Panchayat Devolution Index for 2024, while UP and Bihar have recorded the biggest improvements.","FEBRUARY 24, 2025 06:46 IST"
political-pulse,KIIT founder at centre of storm over Nepalese student’s death: Who is Achyuta Samanta?,"The row, which set off a diplomatic crisis between two countries, has severely dented Samanta’s image of a social entrepreneur, who claims to have helped thousands of Odisha tribal kids by giving them access to free education","FEBRUARY 23, 2025 16:06 IST"
political-pulse,KIIT founder to BJD stint to centre of Nepalese student death storm: Who is Achyuta Samanta,"The row, which set off a diplomatic crisis between two countries, has severely dented Samanta’s image of a social entrepreneur, who claims to have helped thousands of Odisha tribal kids by giving them access to free education","FEBRUARY 24, 2025 02:06 IST"
political-pulse,Shashi Tharoor: Even those against Congress vote for me…that’s what party needs,"Congress MP Shashi Tharoor says polls show he’s ahead of others in 2026 Kerala leadership stakes, if party doesn’t want to ‘use' that, ‘I have my own things to do’","FEBRUARY 23, 2025 16:06 IST"
political-pulse,"Today in Politics: PM Modi begins three-day tour of Madhya Pradesh, Bihar and Assam","Former Delhi CM Atishi has sought a meeting with incoming CM Rekha Gupta over the BJP’s promise to provide Rs 2,500 in monthly assistance to women.","FEBRUARY 23, 2025 07:36 IST"
political-pulse,Punjab Opp tears into AAP govt over minister with charge of ‘non-existent’ dept for 21 months,"CM Bhagwant Mann downplays the row, says 'we changed dept name and created a new one'","FEBRUARY 23, 2025 16:07 IST"
political-pulse,‘Even CM Yogi uses Urdu words in speeches… Govt’s mindset is communal. It is not about language’: UP LoP,"“English was removed as an official language after a long struggle… It is not just Urdu that I demanded (among languages for translation in House), I requested to include Sanskrit as well,” Mata Prasad Pandey tells The Indian Express.","FEBRUARY 23, 2025 16:07 IST"
political-pulse,"After Kejriwal debacle, why Bhagwant Mann govt is resorting to mass sacking of cops, officers","With AAP’s rout in Delhi polls attributed to alleged corruption, the party-led Punjab govt has stepped up the bid to revive its anti-graft campaign ahead of 2027 polls.","FEBRUARY 23, 2025 16:07 IST"
political-pulse,"Sengol to Union, Railway Budgets’ merger, SMS alerts to AI use: Parliament book records the shift","The 2025 edition of Kaul and Shakhder’s “Practice and Procedure of Parliament” includes multiple changes in the conduct of House proceedings since 16th Lok Sabha, especially after Covid.","FEBRUARY 23, 2025 16:07 IST"
